True_index,Sales
7,0
19,3978
31,7186
45,4213
56,3956
57,6037
61,5592
63,8260
79,4827
81,12084
84,3292
86,7211
90,4559
96,6510
105,120
108,6271
124,15071
126,6507
133,7931
146,4423
151,152
160,9143
164,6011
167,10799
190,319
194,5233
206,11474
214,154
217,6974
220,10566
221,8036
225,7572
226,2778
232,8855
250,5700
264,6366
269,7164
271,5103
280,5234
281,0
284,4542
302,7348
323,5356
327,0
336,5829
351,3304
377,4959
382,4810
388,4935
392,0
402,211
408,4662
427,7526
466,0
469,610
472,0
477,151
508,7026
513,8794
516,7878
530,5023
558,3402
576,16681
588,8404
595,6186
600,5930
601,8906
609,5381
612,6332
615,8179
625,6090
632,113
645,5655
666,6230
668,7628
672,11395
699,11654
717,5488
737,6497
744,6133
747,17867
764,5873
775,5458
788,0
795,9656
802,9638
811,10030
840,7891
849,10870
859,8867
871,0
872,12339
881,4436
883,5546
890,5759
896,6713
902,248
905,10909
921,8175
967,10570
973,4603
1001,4083
1016,0
1021,8719
1026,5261
1030,6089
1044,5940
1063,8482
1067,6614
1075,7737
1086,0
1097,4122
1117,11727
1122,5466
1125,9205
1129,5446
1141,6336
1149,0
1151,5030
1159,6325
1173,7365
1184,0
1193,6219
1241,6040
1249,0
1250,8940
1261,17
1273,7394
1282,327
1296,8625
1309,2957
1332,6223
1336,7515
1357,6208
1372,6807
1374,6962
1378,9155
1379,4883
1384,7470
1394,5317
1398,2866
1399,5586
1403,6229
1409,11643
1424,3803
1430,7097
1432,5014
1448,6362
1451,10260
1452,7109
1467,0
1470,5683
1481,6680
1523,2354
1527,5244
1546,4871
1547,13700
1567,4325
1592,10073
1597,13694
1601,751
1603,10410
1640,5684
1646,163
1651,347
1652,12286
1670,537
1677,0
1691,4387
1704,2302
1707,8442
1718,4408
1721,5447
1733,0
1737,5612
1748,5285
1776,4897
1804,6536
1821,9415
1839,5343
1845,8137
1853,7075
1888,4770
1895,5867
1899,7910
1923,4319
1934,7915
1937,8356
1940,6475
1953,0
1968,3781
1975,0
1981,8416
1984,5857
1997,9491
2024,10848
2032,8616
2036,15593
2051,4036
2061,0
2082,5932
2093,0
2096,4890
2107,5536
2115,4669
2117,4995
2137,3872
2156,8581
2160,867
2186,6357
2188,5862
2204,8107
2217,6274
2224,5172
2228,10844
2233,13323
2246,4086
2254,6506
2275,5931
2281,5381
2287,10974
2300,8247
2305,8893
2306,5470
2313,2764
2315,6798
2320,4175
2322,5968
2324,4209
2328,10712
2335,7065
2340,2553
2352,240
2381,8178
2383,5968
2408,4636
2422,7210
2424,3891
2425,200
2428,4860
2435,5466
2456,7291
2471,218
2474,5496
2493,4802
2495,6140
2501,159
2511,3368
2519,3852
2522,5648
2526,6058
2527,10219
2539,5096
2550,6793
2562,0
2572,8148
2573,7344
2576,10024
2579,3574
2580,5703
2594,5901
2600,5953
2602,9695
2621,734
2641,351
2651,8323
2669,5555
2686,10803
2694,6762
2699,5946
2700,5592
2747,6017
2759,6848
2763,6479
2794,0
2797,446
2812,12272
2815,7126
2824,443
2829,7950
2830,8461
2852,6527
2855,7884
2858,130
2870,9590
2881,4792
2884,4519
2887,7666
2890,7938
2897,19403
2909,5038
2917,11408
2929,2935
2937,5574
2962,7595
2985,5753
2997,8357
3007,4464
3015,7358
3020,3838
3030,7746
3035,6879
3048,6399
3075,5760
3079,6904
3087,4730
3091,7109
3103,7854
3107,6584
3120,135
3126,6586
3127,13315
3131,4861
3142,8395
3143,78
3146,6682
3157,7260
3162,7466
3165,6659
3168,184
3170,0
3172,6800
3175,4338
3179,4695
3188,9165
3194,0
3200,6018
3209,4356
3231,13992
3235,4505
3238,7733
3276,5059
3283,0
3286,3670
3306,0
3328,12178
3340,6653
3347,0
3351,6251
3357,7965
3364,5621
3374,5909
3402,6698
3407,0
3420,7402
3434,4555
3436,4395
3442,6340
3448,4431
3456,5003
3467,4073
3473,5835
3486,8779
3496,4586
3509,5971
3517,7232
3519,6300
3521,5691
3534,2134
3539,4222
3551,9319
3556,3320
3559,10331
3573,5258
3600,7245
3602,2343
3617,5302
3635,9296
3641,7365
3648,6812
3676,14
3694,0
3707,6135
3708,3517
3716,8393
3734,0
3738,9158
3744,8015
3746,8321
3749,10405
3777,4621
3794,9415
3804,4583
3813,20589
3828,6241
3840,7853
3843,6193
3844,0
3856,8383
3864,6412
3865,4944
3891,4885
3893,6679
3896,4747
3910,5871
3920,7269
3922,6784
3929,326
3931,0
3932,3517
3941,4529
3946,4255
3966,3716
3975,8105
3977,560
3986,3079
3989,25721
3993,6542
3996,4675
4016,18241
4020,7954
4023,107
4031,8360
4040,8952
4041,801
4042,982
4052,5435
4067,0
4071,8142
4104,5290
4110,3146
4122,7467
4127,6982
4129,6226
4130,100
4162,4076
4180,3361
4181,8959
4190,4923
4195,280
4196,4105
4215,5339
4233,0
4236,0
4240,4466
4258,5938
4264,6018
4268,7712
4269,6456
4286,8176
4300,6173
4303,0
4320,12996
4323,5227
4327,7403
4339,5464
4354,6169
4366,4608
4371,6794
4388,8390
4422,6554
4433,0
4434,6264
4436,8802
4452,8889
4474,5700
4482,4490
4495,0
4521,8123
4552,4606
4555,9398
4556,6524
4560,6061
4577,6101
4586,3815
4589,6354
4618,0
4620,7225
4642,4760
4654,5570
4674,10995
4684,4115
4710,6475
4711,7449
4717,4005
4736,4789
4745,4942
4747,7444
4767,6191
4774,8369
4790,3893
4792,4771
4796,9236
4799,7975
4819,7519
4828,5160
4840,5269
4844,5756
4851,6573
4870,0
4878,0
4894,5110
4898,332
4919,8887
4923,0
