True_index,Sales
7,0
19,3721
31,6340
45,3315
56,3468
57,5115
61,5016
63,7372
79,5379
81,10110
84,3373
86,6523
90,4991
96,5662
105,0
108,5954
124,15557
126,5989
133,6450
146,5522
151,0
160,8385
164,7301
167,11239
190,174
194,7176
206,12620
214,146
217,9821
220,9540
221,8155
225,6459
226,4049
232,8160
250,5337
264,6095
269,6647
271,6815
280,8664
281,0
284,3893
302,7788
323,5699
327,0
336,5084
351,4374
377,5727
382,4545
388,8083
392,0
402,18
408,6515
427,6839
466,0
469,146
472,0
477,0
508,5731
513,11038
516,6716
530,4511
558,3412
576,14567
588,7652
595,6402
600,5009
601,8976
609,5204
612,5269
615,7244
625,5996
632,193
645,5228
666,6032
668,6773
672,9916
699,17154
717,5855
737,5300
744,7291
747,15963
764,7578
775,6491
788,0
795,8611
802,9544
811,8555
840,9242
849,12008
859,7537
871,0
872,13079
881,4280
883,7218
890,4960
896,6569
902,0
905,9147
921,9160
967,9130
973,5474
1001,3622
1016,0
1021,9970
1026,4984
1030,7360
1044,5420
1063,9966
1067,8061
1075,9081
1086,0
1097,4947
1117,12534
1122,4572
1125,8024
1129,5280
1141,5579
1149,0
1151,4536
1159,6451
1173,6743
1184,0
1193,5693
1241,5231
1249,0
1250,7309
1261,0
1273,6702
1282,0
1296,7686
1309,2445
1332,5134
1336,6738
1357,5176
1372,6606
1374,6561
1378,9501
1379,4055
1384,9315
1394,5469
1398,2776
1399,4613
1403,7304
1409,9835
1424,4314
1430,6246
1432,4780
1448,5879
1451,10626
1452,7290
1467,0
1470,5025
1481,10104
1523,2996
1527,4738
1546,4766
1547,12897
1567,3710
1592,9045
1597,11474
1601,241
1603,9511
1640,6045
1646,53
1651,202
1652,10421
1670,373
1677,0
1691,5606
1704,1801
1707,10934
1718,5927
1721,6029
1733,0
1737,8321
1748,4133
1776,5596
1804,7087
1821,9070
1839,4871
1845,7208
1853,6116
1888,4056
1895,5480
1899,6706
1923,3413
1934,8982
1937,9882
1940,5523
1953,0
1968,3714
1975,0
1981,7183
1984,5639
1997,10841
2024,9677
2032,9266
2036,14352
2051,3662
2061,0
2082,5371
2093,0
2096,6704
2107,5797
2115,5830
2117,3922
2137,2837
2156,7887
2160,599
2186,8598
2188,7943
2204,8388
2217,5731
2224,4826
2228,10756
2233,12080
2246,3593
2254,11648
2275,7929
2281,6351
2287,10721
2300,8527
2305,9794
2306,5705
2313,3536
2315,6083
2320,3966
2322,5546
2324,4501
2328,9615
2335,6197
2340,3258
2352,0
2381,6354
2383,5433
2408,3881
2422,6233
2424,4059
2425,62
2428,4039
2435,5295
2456,7413
2471,155
2474,5071
2493,4847
2495,7889
2501,0
2511,3106
2519,3518
2522,8332
2526,5655
2527,12611
2539,7522
2550,7423
2562,0
2572,7301
2573,6087
2576,9194
2579,4616
2580,5701
2594,5516
2600,9050
2602,10786
2621,0
2641,95
2651,6945
2669,6857
2686,9580
2694,6176
2699,5725
2700,5213
2747,7208
2759,7543
2763,6484
2794,0
2797,58
2812,12817
2815,6213
2824,168
2829,7039
2830,8637
2852,5882
2855,8352
2858,0
2870,8642
2881,6033
2884,3615
2887,7251
2890,9361
2897,15440
2909,4060
2917,10380
2929,3764
2937,6067
2962,7886
2985,7492
2997,7820
3007,4368
3015,6654
3020,3703
3030,6962
3035,6556
3048,6868
3075,6962
3079,7035
3087,5107
3091,9175
3103,7666
3107,6910
3120,197
3126,8456
3127,14619
3131,6446
3142,7675
3143,0
3146,6271
3157,7492
3162,6662
3165,7904
3168,0
3170,0
3172,7317
3175,5014
3179,5381
3188,8007
3194,0
3200,5815
3209,4484
3231,11456
3235,4621
3238,6761
3276,9367
3283,0
3286,4878
3306,0
3328,10590
3340,7552
3347,72
3351,5391
3357,7829
3364,5030
3374,6793
3402,8537
3407,0
3420,7538
3434,6074
3436,4616
3442,8162
3448,5787
3456,4665
3467,4830
3473,4754
3486,7256
3496,4236
3509,6337
3517,6347
3519,8390
3521,4638
3534,1877
3539,3360
3551,10621
3556,3947
3559,10614
3573,7000
3600,7704
3602,2155
3617,4440
3635,8436
3641,7571
3648,8125
3676,0
3694,87
3707,6912
3708,4373
3716,8539
3734,0
3738,8844
3744,6950
3746,7536
3749,11791
3777,4544
3794,9804
3804,4367
3813,22484
3828,5601
3840,8888
3843,5988
3844,0
3856,9030
3864,5457
3865,3857
3891,5282
3893,5424
3896,4946
3910,6526
3920,6561
3922,6211
3929,21
3931,0
3932,3413
3941,4471
3946,4108
3966,4744
3975,8166
3977,0
3986,4055
3989,23809
3993,5838
3996,4043
4016,28519
4020,6977
4023,177
4031,7655
4040,8226
4041,11
4042,156
4052,5157
4067,0
4071,9336
4104,6021
4110,2839
4122,8932
4127,8672
4129,7190
4130,257
4162,3632
4180,4330
4181,7202
4190,4138
4195,182
4196,3570
4215,4334
4233,0
4236,0
4240,4115
4258,5010
4264,4708
4268,8838
4269,7151
4286,7281
4300,8365
4303,0
4320,12336
4323,7097
4327,11947
4339,5074
4354,5409
4366,3933
4371,5809
4388,7116
4422,6629
4433,26
4434,7017
4436,9911
4452,10075
4474,5677
4482,3940
4495,0
4521,9515
4552,3789
4555,8565
4556,5554
4560,7394
4577,7764
4586,3608
4589,5589
4618,0
4620,6188
4642,5916
4654,6089
4674,10150
4684,3288
4710,7902
4711,6370
4717,5698
4736,4531
4745,6128
4747,6881
4767,5441
4774,8811
4790,4721
4792,7628
4796,8933
4799,10846
4819,6494
4828,6880
4840,4296
4844,7182
4851,5454
4870,0
4878,0
4894,4456
4898,176
4919,8533
4923,0
4924,251
4933,4601
4977,6951
4987,10272
4994,6401
5005,4464
5007,5492
5009,5366
5016,5983
5031,0
5032,5707
5049,11489
5052,12590
5053,6814
5087,5285
5101,10169
5132,24
5171,5560
5178,3746
5189,12982
5196,3217
5205,5097
5210,9172
5211,8069
5234,2846
5238,8437
5242,9249
5253,5694
5262,3476
5318,7642
5327,301
5334,6988
5366,4305
5384,5374
5395,0
5397,4123
5399,8376
5419,8223
5431,6463
5432,7206
5435,5561
5437,7334
5481,4616
5482,10112
5485,7864
5497,4601
5502,6070
5513,7182
5517,4606
5533,5479
5535,2463
5539,4610
5561,0
5574,8676
5588,0
5593,7616
5607,3845
5647,8875
5662,12287
5669,3860
5692,5842
5713,9098
5720,6522
5726,5541
5735,8162
5758,4178
5765,3737
5793,9633
5798,2389
5822,9004
5824,6308
5826,6835
5829,8537
5831,145
5835,6041
5853,5502
5875,3238
5879,10772
5883,5904
5890,4997
5914,7411
5921,5668
5922,5348
5935,4392
5944,6515
5950,175
5977,8685
5987,0
5988,9709
5994,8172
6009,4528
6019,14105
6045,8486
6056,7512
6073,5496
6088,4604
6094,7934
6104,17491
6118,0
6125,8854
6155,0
6166,4558
6171,4324
6172,7257
6174,0
6185,5642
6191,4826
6196,8454
6218,11455
6221,7865
6226,96
6232,94
6233,5336
6248,10982
6253,3310
6273,4421
6280,2521
6287,6112
6290,118
6299,170
6315,8841
6323,6561
6331,99
6333,3831
6334,5941
6369,2919
6376,0
6382,8004
6383,6122
6407,8838
6408,7797
6412,0
6419,6074
6428,4214
6434,7047
6448,9252
6451,4552
6458,10281
6470,8162
6472,0
6480,4844
6482,4345
6486,6930
6503,0
6507,5213
6527,4563
6529,6258
6540,8411
6550,10307
6552,4758
6553,7832
6555,4256
6588,16499
6607,7271
6612,3517
6634,6577
6652,2939
6655,8930
6661,0
6681,6757
6691,5987
6707,3901
6710,7418
6714,3267
6720,4047
6726,48
6731,14925
6740,232
6749,0
6768,10101
6775,0
6778,6149
6791,5482
6829,8974
6842,0
6849,4037
6858,7975
6863,4989
6890,5099
6918,6143
6920,2495
6923,6937
6932,127
6933,0
6946,5388
6947,2730
6973,0
6992,5815
7005,8159
7007,5432
7027,10462
7035,6447
7055,4683
7056,3886
7095,9995
7112,0
7113,5083
7119,257
7122,61
7126,6598
7127,2695
7138,30371
7139,13669
7162,7237
7166,7517
7169,7653
7181,4524
7190,10372
7199,0
7200,5333
7232,5913
7259,9952
7263,7433
7266,4925
7267,6696
7299,6485
7301,5490
7302,6141
7307,7828
7309,6804
7323,9618
7325,8349
7330,27
7334,6089
7338,27
7342,5991
7349,0
7362,9098
7363,299
7394,0
7399,17984
7420,7254
7428,5959
7434,5855
7450,7334
7451,7891
7455,41
7492,6517
7507,17999
7518,3500
7521,5649
7526,5863
7557,9783
7560,9426
7570,0
7573,5728
7576,4598
7594,13191
7601,7484
7634,8450
7668,4866
7670,0
7682,8892
7693,0
7696,126
7711,7880
7713,10529
7719,7099
7720,8215
7732,13588
7734,5918
7742,6419
7753,4737
7779,10327
7793,12224
7797,7707
7812,3292
7824,15456
7835,3200
7855,9721
7862,10353
7884,9734
7894,124
7904,1751
7913,5916
7920,8819
7930,178
7936,4649
7958,4551
7963,0
7973,0
7979,6286
7984,0
7986,3769
7987,5913
8006,5812
8015,6419
8017,7190
8031,114
8037,4179
8064,6043
8073,5066
8083,4076
8090,1815
8094,7471
8113,4457
8114,4085
8119,0
8123,3560
8158,136
8161,8135
8167,4778
8181,6843
8195,5003
8207,7039
8215,8387
8223,5635
8252,7691
8255,0
8287,4998
8309,5637
8312,7037
8319,4437
8327,6569
8353,0
8365,178
8378,5585
8385,4582
8387,9851
8400,3854
8402,5496
8403,7668
8430,30
8438,5894
8439,12259
8464,5845
8483,643
8503,5462
8504,8001
8517,4860
8522,11472
8525,6132
8544,10438
8557,9950
8570,5661
8583,5578
8590,5409
8592,4454
8609,5026
8613,8280
8621,6500
8626,4610
8627,5693
8637,2649
8643,11025
8654,6792
8668,5803
8713,6487
8729,5674
8732,6793
8748,3778
8758,6862
8764,5791
8765,0
8772,5335
8776,18750
8783,6606
8797,0
8805,13135
8817,4472
8820,5697
8838,8908
8869,4490
8871,7784
8879,8483
8888,3402
8897,8079
8905,0
8907,6756
8910,17007
8944,4416
8953,3790
8989,5542
8990,4325
8994,6247
9020,8889
9023,4472
9024,3390
9047,7666
9050,10724
9055,8100
9064,10205
9065,0
9084,8392
9089,13199
9103,6874
9111,6224
9112,13579
9144,4736
9145,5889
9147,11494
9169,294
9184,0
9190,5092
9199,9420
9201,5772
9207,5668
9220,7364
9236,7779
9246,98
9252,8260
9286,5539
9316,4593
9319,2399
9325,7827
9341,6469
9343,0
9348,7242
9383,12171
9395,11686
9403,622
9408,15832
9410,6678
9416,163
9423,5773
9444,0
9476,5965
9482,4715
9489,10741
9506,5063
9512,5915
9522,7563
9566,5671
9577,331
9580,4012
9592,4465
9601,9657
9607,11281
9619,10639
9627,12246
9628,8958
9638,4569
9641,4938
9652,8104
9653,4312
9658,7450
9682,0
9694,7898
9702,0
